Posicao,Time,Rodada_atual,Vitorias,Empates,Derrotas,Saldo_gols,Pontuacao,Temporada,Ranking_cbf,Valor_time,Gols_marcados,Gols_sofridos,Taxa_gols,Aproveitamento
11,Ponte Preta,14,4,6,4,-1,18,2015,7440,7.7,16,17,0.941,0.42857142857142855
12,Cruzeiro,14,5,2,7,1,17,2015,15328,58.65,13,12,1.083,0.40476190476190477
13,Avaí - SC,14,4,5,5,-5,17,2015,6364,9.65,15,20,0.75,0.40476190476190477
14,Flamengo RJ,14,5,1,8,-6,16,2015,14578,34.45,13,19,0.684,0.38095238095238093
15,Figueirense - SC,14,4,4,6,-6,16,2015,6898,12.15,12,18,0.667,0.38095238095238093
16,Goiás,14,3,4,7,-2,13,2015,10525,7.25,12,14,0.857,0.30952380952380953
17,Santos FC,14,3,4,7,-5,13,2015,13530,20.03,17,22,0.773,0.30952380952380953
18,Vasco da Gama,14,3,3,8,-15,12,2015,12132,17.4,7,22,0.318,0.2857142857142857
19,Coritiba FC,14,2,4,8,-9,10,2015,11036,15.85,8,17,0.471,0.23809523809523808
20,Joinville - SC,14,2,3,9,-10,9,2015,4699,4.6,7,17,0.412,0.21428571428571427
1,Atlético Mineiro,15,10,2,3,16,32,2015,13224,53.78,29,13,2.231,0.7111111111111111
2,Corinthians SP,15,9,3,3,8,30,2015,14680,52.85,17,9,1.889,0.6666666666666666
3,Palmeiras,15,8,4,3,15,28,2015,11524,59.15,26,11,2.364,0.6222222222222222
4,Sport - PE,15,7,7,1,11,28,2015,6970,20.85,26,15,1.733,0.6222222222222222
5,São Paulo FC,15,8,3,4,7,27,2015,12738,88.8,21,14,1.5,0.6
6,Grêmio Porto Alegre,15,8,3,4,5,27,2015,13992,31.35,20,15,1.333,0.6
7,Fluminense RJ,15,8,3,4,4,27,2015,12708,52.35,19,15,1.267,0.6
8,Athletico Paranaense,15,8,1,6,2,25,2015,12524,12.5,19,17,1.118,0.5555555555555556
9,Chapecoense,15,7,1,7,-1,22,2015,5150,6.75,13,14,0.929,0.4888888888888889
10,Internacional,15,5,5,5,-3,20,2015,12628,55.5,13,16,0.812,0.4444444444444444
11,Flamengo RJ,15,6,1,8,-5,19,2015,14578,34.45,14,19,0.737,0.4222222222222222
12,Ponte Preta,15,4,7,4,-1,19,2015,7440,7.7,16,17,0.941,0.4222222222222222
13,Cruzeiro,15,5,2,8,0,17,2015,15328,58.65,13,13,1.0,0.37777777777777777
14,Avaí - SC,15,4,5,6,-6,17,2015,6364,9.65,16,22,0.727,0.37777777777777777
15,Santos FC,15,4,4,7,-3,16,2015,13530,20.03,19,22,0.864,0.35555555555555557
16,Figueirense - SC,15,4,4,7,-7,16,2015,6898,12.15,12,19,0.632,0.35555555555555557
17,Goiás,15,3,4,8,-3,13,2015,10525,7.25,12,15,0.8,0.28888888888888886
18,Vasco da Gama,15,3,3,9,-18,12,2015,12132,17.4,8,26,0.308,0.26666666666666666
19,Coritiba FC,15,2,5,8,-9,11,2015,11036,15.85,9,18,0.5,0.24444444444444444
20,Joinville - SC,15,2,3,10,-12,9,2015,4699,4.6,7,19,0.368,0.2
1,Atlético Mineiro,16,11,2,3,18,35,2015,13224,53.78,32,14,2.286,0.7291666666666666
2,Corinthians SP,16,10,3,3,11,33,2015,14680,52.85,20,9,2.222,0.6875
3,Fluminense RJ,16,9,3,4,5,30,2015,12708,52.35,20,15,1.333,0.625
4,Sport - PE,16,7,8,1,11,29,2015,6970,20.85,26,15,1.733,0.6041666666666666
5,Palmeiras,16,8,4,4,14,28,2015,11524,59.15,26,12,2.167,0.5833333333333334
6,Athletico Paranaense,16,9,1,6,3,28,2015,12524,12.5,20,17,1.176,0.5833333333333334
7,São Paulo FC,16,8,3,5,5,27,2015,12738,88.8,22,17,1.294,0.5625
8,Grêmio Porto Alegre,16,8,3,5,4,27,2015,13992,31.35,20,16,1.25,0.5625
9,Chapecoense,16,7,2,7,-1,23,2015,5150,6.75,13,14,0.929,0.4791666666666667
10,Internacional,16,5,6,5,-3,21,2015,12628,55.5,13,16,0.812,0.4375
11,Flamengo RJ,16,6,2,8,-5,20,2015,14578,34.45,16,21,0.762,0.4166666666666667
12,Figueirense - SC,16,5,4,7,-5,19,2015,6898,12.15,15,20,0.75,0.3958333333333333
13,Ponte Preta,16,4,7,5,-3,19,2015,7440,7.7,17,20,0.85,0.3958333333333333
14,Cruzeiro,16,5,3,8,0,18,2015,15328,58.65,13,13,1.0,0.375
15,Santos FC,16,4,5,7,-3,17,2015,13530,20.03,21,24,0.875,0.3541666666666667
16,Avaí - SC,16,4,5,7,-8,17,2015,6364,9.65,16,24,0.667,0.3541666666666667
17,Goiás,16,3,5,8,-3,14,2015,10525,7.25,13,16,0.812,0.2916666666666667
18,Coritiba FC,16,2,6,8,-9,12,2015,11036,15.85,10,19,0.526,0.25
19,Joinville - SC,16,3,3,10,-10,12,2015,4699,4.6,9,19,0.474,0.25
20,Vasco da Gama,16,3,3,10,-21,12,2015,12132,17.4,8,29,0.276,0.25
1,Atlético Mineiro,17,11,3,3,18,36,2015,13224,53.78,32,14,2.286,0.7058823529411765
2,Corinthians SP,17,10,4,3,11,34,2015,14680,52.85,21,10,2.1,0.6666666666666666
3,Sport - PE,17,7,9,1,11,30,2015,6970,20.85,27,16,1.688,0.5882352941176471
4,Grêmio Porto Alegre,17,9,3,5,9,30,2015,13992,31.35,25,16,1.562,0.5882352941176471
5,Fluminense RJ,17,9,3,5,4,30,2015,12708,52.35,20,16,1.25,0.5882352941176471
6,Athletico Paranaense,17,9,2,6,3,29,2015,12524,12.5,21,18,1.167,0.5686274509803921
7,Palmeiras,17,8,4,5,13,28,2015,11524,59.15,27,14,1.929,0.5490196078431373
8,São Paulo FC,17,8,4,5,5,28,2015,12738,88.8,23,18,1.278,0.5490196078431373
9,Chapecoense,17,7,3,7,-1,24,2015,5150,6.75,15,16,0.938,0.47058823529411764
10,Ponte Preta,17,5,7,5,-2,22,2015,7440,7.7,18,20,0.9,0.43137254901960786
11,Cruzeiro,17,6,3,8,1,21,2015,15328,58.65,15,14,1.071,0.4117647058823529
12,Internacional,17,5,6,6,-8,21,2015,12628,55.5,13,21,0.619,0.4117647058823529
13,Santos FC,17,5,5,7,0,20,2015,13530,20.03,24,24,1.0,0.39215686274509803
14,Figueirense - SC,17,5,5,7,-5,20,2015,6898,12.15,17,22,0.773,0.39215686274509803
15,Flamengo RJ,17,6,2,9,-6,20,2015,14578,34.45,16,22,0.727,0.39215686274509803
16,Avaí - SC,17,5,5,7,-7,20,2015,6364,9.65,17,24,0.708,0.39215686274509803
17,Goiás,17,3,6,8,-3,15,2015,10525,7.25,13,16,0.812,0.29411764705882354
18,Joinville - SC,17,3,4,10,-10,13,2015,4699,4.6,9,19,0.474,0.2549019607843137
19,Vasco da Gama,17,3,4,10,-21,13,2015,12132,17.4,8,29,0.276,0.2549019607843137
20,Coritiba FC,17,2,6,9,-12,12,2015,11036,15.85,10,22,0.455,0.23529411764705882
1,Corinthians SP,18,11,4,3,12,37,2015,14680,52.85,25,13,1.923,0.6851851851851852
2,Atlético Mineiro,18,11,3,4,16,36,2015,13224,53.78,32,16,2.0,0.6666666666666666
3,Grêmio Porto Alegre,18,10,3,5,11,33,2015,13992,31.35,27,16,1.688,0.6111111111111112
4,São Paulo FC,18,9,4,5,7,31,2015,12738,88.8,25,18,1.389,0.5740740740740741
5,Sport - PE,18,7,9,2,10,30,2015,6970,20.85,30,20,1.5,0.5555555555555556
6,Fluminense RJ,18,9,3,6,3,30,2015,12708,52.35,20,17,1.176,0.5555555555555556
7,Athletico Paranaense,18,9,2,7,2,29,2015,12524,12.5,23,21,1.095,0.5370370370370371
8,Palmeiras,18,8,4,6,12,28,2015,11524,59.15,28,16,1.75,0.5185185185185185
9,Chapecoense,18,7,4,7,-1,25,2015,5150,6.75,15,16,0.938,0.46296296296296297
10,Ponte Preta,18,6,7,5,0,25,2015,7440,7.7,20,20,1.0,0.46296296296296297
11,Internacional,18,6,6,6,-7,24,2015,12628,55.5,14,21,0.667,0.4444444444444444
12,Santos FC,18,6,5,7,1,23,2015,13530,20.03,25,24,1.042,0.42592592592592593
13,Flamengo RJ,18,7,2,9,-5,23,2015,14578,34.45,19,24,0.792,0.42592592592592593
14,Cruzeiro,18,6,3,9,-2,21,2015,15328,58.65,15,17,0.882,0.3888888888888889
15,Figueirense - SC,18,5,5,8,-7,20,2015,6898,12.15,17,24,0.708,0.37037037037037035
16,Avaí - SC,18,5,5,8,-9,20,2015,6364,9.65,17,26,0.654,0.37037037037037035
17,Goiás,18,3,7,8,-3,16,2015,10525,7.25,13,16,0.812,0.2962962962962963
18,Joinville - SC,18,4,4,10,-7,16,2015,4699,4.6,12,19,0.632,0.2962962962962963
19,Coritiba FC,18,3,6,9,-11,15,2015,11036,15.85,12,23,0.522,0.2777777777777778
20,Vasco da Gama,18,3,4,11,-22,13,2015,12132,17.4,8,30,0.267,0.24074074074074073
1,Corinthians SP,19,12,4,3,13,40,2015,14680,52.85,27,14,1.929,0.7017543859649122
2,Atlético Mineiro,19,11,3,5,15,36,2015,13224,53.78,33,18,1.833,0.631578947368421
3,Grêmio Porto Alegre,19,11,3,5,12,36,2015,13992,31.35,29,17,1.706,0.631578947368421
4,Fluminense RJ,19,10,3,6,4,33,2015,12708,52.35,22,18,1.222,0.5789473684210527
5,Palmeiras,19,9,4,6,14,31,2015,11524,59.15,32,18,1.778,0.543859649122807
6,Sport - PE,19,7,10,2,10,31,2015,6970,20.85,31,21,1.476,0.543859649122807
7,São Paulo FC,19,9,4,6,4,31,2015,12738,88.8,25,21,1.19,0.543859649122807
8,Athletico Paranaense,19,9,3,7,2,30,2015,12524,12.5,23,21,1.095,0.5263157894736842
9,Chapecoense,19,8,4,7,0,28,2015,5150,6.75,17,17,1.0,0.49122807017543857
10,Ponte Preta,19,6,8,5,0,26,2015,7440,7.7,21,21,1.0,0.45614035087719296
11,Internacional,19,6,7,6,-7,25,2015,12628,55.5,14,21,0.667,0.43859649122807015
12,Santos FC,19,6,6,7,1,24,2015,13530,20.03,25,24,1.042,0.42105263157894735
13,Flamengo RJ,19,7,2,10,-7,23,2015,14578,34.45,21,28,0.75,0.40350877192982454
14,Cruzeiro,19,6,4,9,-2,22,2015,15328,58.65,15,17,0.882,0.38596491228070173
15,Figueirense - SC,19,5,5,9,-8,20,2015,6898,12.15,18,26,0.692,0.3508771929824561
16,Avaí - SC,19,5,5,9,-10,20,2015,6364,9.65,18,28,0.643,0.3508771929824561
17,Goiás,19,4,7,8,0,19,2015,10525,7.25,16,16,1.0,0.3333333333333333
18,Coritiba FC,19,4,6,9,-10,18,2015,11036,15.85,13,23,0.565,0.3157894736842105
19,Joinville - SC,19,4,4,11,-8,16,2015,4699,4.6,13,21,0.619,0.2807017543859649
20,Vasco da Gama,19,3,4,12,-23,13,2015,12132,17.4,8,31,0.258,0.22807017543859648
1,Corinthians SP,20,13,4,3,16,43,2015,14680,52.85,30,14,2.143,0.7166666666666667
2,Atlético Mineiro,20,12,3,5,16,39,2015,13224,53.78,35,19,1.842,0.65
3,Grêmio Porto Alegre,20,11,4,5,12,37,2015,13992,31.35,29,17,1.706,0.6166666666666667
4,Fluminense RJ,20,10,3,7,3,33,2015,12708,52.35,23,20,1.15,0.55
5,Palmeiras,20,9,4,7,13,31,2015,11524,59.15,33,20,1.65,0.5166666666666667
6,Sport - PE,20,7,10,3,9,31,2015,6970,20.85,32,23,1.391,0.5166666666666667
7,São Paulo FC,20,9,4,7,3,31,2015,12738,88.8,26,23,1.13,0.5166666666666667
8,Athletico Paranaense,20,9,3,8,0,30,2015,12524,12.5,23,23,1.0,0.5
9,Chapecoense,20,8,4,8,-1,28,2015,5150,6.75,17,18,0.944,0.4666666666666667
10,Internacional,20,7,7,6,-5,28,2015,12628,55.5,16,21,0.762,0.4666666666666667
11,Santos FC,20,7,6,7,4,27,2015,13530,20.03,30,26,1.154,0.45
12,Ponte Preta,20,6,9,5,0,27,2015,7440,7.7,21,21,1.0,0.45
13,Flamengo RJ,20,8,2,10,-6,26,2015,14578,34.45,23,29,0.793,0.43333333333333335
14,Figueirense - SC,20,6,5,9,-7,23,2015,6898,12.15,20,27,0.741,0.38333333333333336
15,Goiás,20,5,7,8,3,22,2015,10525,7.25,19,16,1.188,0.36666666666666664
16,Cruzeiro,20,6,4,10,-5,22,2015,15328,58.65,15,20,0.75,0.36666666666666664
17,Coritiba FC,20,5,6,9,-9,21,2015,11036,15.85,14,23,0.609,0.35
18,Avaí - SC,20,5,5,10,-13,20,2015,6364,9.65,20,33,0.606,0.3333333333333333
19,Joinville - SC,20,5,4,11,-7,19,2015,4699,4.6,15,22,0.682,0.31666666666666665
20,Vasco da Gama,20,3,4,13,-26,13,2015,12132,17.4,8,34,0.235,0.21666666666666667
1,Corinthians SP,21,14,4,3,18,46,2015,14680,52.85,33,15,2.2,0.7301587301587301
2,Atlético Mineiro,21,13,3,5,17,42,2015,13224,53.78,37,20,1.85,0.6666666666666666
3,Grêmio Porto Alegre,21,11,5,5,12,38,2015,13992,31.35,29,17,1.706,0.6031746031746031
4,Palmeiras,21,10,4,7,14,34,2015,11524,59.15,36,22,1.636,0.5396825396825397
5,São Paulo FC,21,10,4,7,6,34,2015,12738,88.8,29,23,1.261,0.5396825396825397
6,Fluminense RJ,21,10,3,8,2,33,2015,12708,52.35,24,22,1.091,0.5238095238095238
7,Athletico Paranaense,21,10,3,8,3,33,2015,12524,12.5,26,23,1.13,0.5238095238095238
8,Sport - PE,21,7,10,4,8,31,2015,6970,20.85,32,24,1.333,0.49206349206349204
9,Santos FC,21,8,6,7,5,30,2015,13530,20.03,31,26,1.192,0.47619047619047616
10,Flamengo RJ,21,9,2,10,-5,29,2015,14578,34.45,24,29,0.828,0.4603174603174603
11,Chapecoense,21,8,4,9,-3,28,2015,5150,6.75,18,21,0.857,0.4444444444444444
12,Internacional,21,7,7,7,-8,28,2015,12628,55.5,16,24,0.667,0.4444444444444444
13,Ponte Preta,21,6,9,6,-3,27,2015,7440,7.7,21,24,0.875,0.42857142857142855
14,Figueirense - SC,21,7,5,9,-6,26,2015,6898,12.15,21,27,0.778,0.4126984126984127
15,Avaí - SC,21,6,5,10,-10,23,2015,6364,9.65,23,33,0.697,0.36507936507936506
16,Goiás,21,5,7,9,0,22,2015,10525,7.25,19,19,1.0,0.3492063492063492
17,Cruzeiro,21,6,4,11,-6,22,2015,15328,58.65,15,21,0.714,0.3492063492063492
18,Coritiba FC,21,5,7,9,-9,22,2015,11036,15.85,14,23,0.609,0.3492063492063492
19,Joinville - SC,21,5,4,12,-8,19,2015,4699,4.6,17,25,0.68,0.30158730158730157
20,Vasco da Gama,21,3,4,14,-27,13,2015,12132,17.4,8,35,0.229,0.20634920634920634
1,Corinthians SP,22,15,4,3,20,49,2015,14680,52.85,35,15,2.333,0.7424242424242424
2,Atlético Mineiro,22,13,3,6,16,42,2015,13224,53.78,37,21,1.762,0.6363636363636364
3,Grêmio Porto Alegre,22,12,5,5,14,41,2015,13992,31.35,31,17,1.824,0.6212121212121212
4,Athletico Paranaense,22,11,3,8,4,36,2015,12524,12.5,27,23,1.174,0.5454545454545454
5,São Paulo FC,22,10,5,7,6,35,2015,12738,88.8,29,23,1.261,0.5303030303030303
6,Palmeiras,22,10,4,8,13,34,2015,11524,59.15,36,23,1.565,0.5151515151515151
7,Santos FC,22,9,6,7,7,33,2015,13530,20.03,34,27,1.259,0.5
8,Fluminense RJ,22,10,3,9,0,33,2015,12708,52.35,24,24,1.0,0.5
9,Sport - PE,22,7,11,4,8,32,2015,6970,20.85,32,24,1.333,0.48484848484848486
10,Flamengo RJ,22,10,2,10,-2,32,2015,14578,34.45,27,29,0.931,0.48484848484848486
11,Internacional,22,8,7,7,-2,31,2015,12628,55.5,22,24,0.917,0.4696969696969697
12,Chapecoense,22,8,4,10,-5,28,2015,5150,6.75,19,24,0.792,0.42424242424242425
13,Ponte Preta,22,6,9,7,-4,27,2015,7440,7.7,22,26,0.846,0.4090909090909091
14,Figueirense - SC,22,7,5,10,-8,26,2015,6898,12.15,21,29,0.724,0.3939393939393939
15,Goiás,22,6,7,9,1,25,2015,10525,7.25,20,19,1.053,0.3787878787878788
16,Cruzeiro,22,7,4,11,-5,25,2015,15328,58.65,17,22,0.773,0.3787878787878788
17,Coritiba FC,22,5,8,9,-9,23,2015,11036,15.85,14,23,0.609,0.3484848484848485
18,Avaí - SC,22,6,5,11,-13,23,2015,6364,9.65,23,36,0.639,0.3484848484848485
19,Joinville - SC,22,5,5,12,-8,20,2015,4699,4.6,17,25,0.68,0.30303030303030304
20,Vasco da Gama,22,3,4,15,-33,13,2015,12132,17.4,8,41,0.195,0.19696969696969696
1,Corinthians SP,23,15,5,3,20,50,2015,14680,52.85,38,18,2.111,0.7246376811594203
2,Atlético Mineiro,23,14,3,6,17,45,2015,13224,53.78,39,22,1.773,0.6521739130434783
3,Grêmio Porto Alegre,23,13,5,5,15,44,2015,13992,31.35,33,18,1.833,0.6376811594202898
4,São Paulo FC,23,11,5,7,8,38,2015,12738,88.8,31,23,1.348,0.5507246376811594
5,Athletico Paranaense,23,11,4,8,4,37,2015,12524,12.5,27,23,1.174,0.5362318840579711
6,Palmeiras,23,10,5,8,13,35,2015,11524,59.15,39,26,1.5,0.5072463768115942
7,Flamengo RJ,23,11,2,10,0,35,2015,14578,34.45,30,30,1.0,0.5072463768115942
8,Santos FC,23,9,7,7,7,34,2015,13530,20.03,35,28,1.25,0.4927536231884058
9,Sport - PE,23,7,12,4,8,33,2015,6970,20.85,33,25,1.32,0.4782608695652174
10,Fluminense RJ,23,10,3,10,-2,33,2015,12708,52.35,25,27,0.926,0.4782608695652174
11,Internacional,23,8,7,8,-4,31,2015,12628,55.5,22,26,0.846,0.4492753623188406
12,Chapecoense,23,8,5,10,-5,29,2015,5150,6.75,19,24,0.792,0.42028985507246375
13,Cruzeiro,23,8,4,11,-1,28,2015,15328,58.65,22,23,0.957,0.4057971014492754
14,Ponte Preta,23,6,10,7,-4,28,2015,7440,7.7,22,26,0.846,0.4057971014492754
15,Coritiba FC,23,6,8,9,-7,26,2015,11036,15.85,16,23,0.696,0.37681159420289856
16,Figueirense - SC,23,7,5,11,-12,26,2015,6898,12.15,22,34,0.647,0.37681159420289856
17,Goiás,23,6,7,10,0,25,2015,10525,7.25,21,21,1.0,0.36231884057971014
18,Avaí - SC,23,6,5,12,-15,23,2015,6364,9.65,23,38,0.605,0.3333333333333333
19,Joinville - SC,23,5,6,12,-8,21,2015,4699,4.6,17,25,0.68,0.30434782608695654
20,Vasco da Gama,23,3,4,16,-34,13,2015,12132,17.4,9,43,0.209,0.18840579710144928
1,Corinthians SP,24,15,6,3,20,51,2015,14680,52.85,39,19,2.053,0.7083333333333334
2,Atlético Mineiro,24,15,3,6,19,48,2015,13224,53.78,41,22,1.864,0.6666666666666666
3,Grêmio Porto Alegre,24,13,6,5,15,45,2015,13992,31.35,34,19,1.789,0.625
4,São Paulo FC,24,11,5,8,5,38,2015,12738,88.8,31,26,1.192,0.5277777777777778
5,Flamengo RJ,24,12,2,10,2,38,2015,14578,34.45,32,30,1.067,0.5277777777777778
6,Athletico Paranaense,24,11,5,8,4,38,2015,12524,12.5,28,24,1.167,0.5277777777777778
7,Santos FC,24,10,7,7,10,37,2015,13530,20.03,38,28,1.357,0.5138888888888888
8,Palmeiras,24,10,5,9,12,35,2015,11524,59.15,39,27,1.444,0.4861111111111111
9,Fluminense RJ,24,10,4,10,-2,34,2015,12708,52.35,26,28,0.929,0.4722222222222222
10,Internacional,24,9,7,8,-3,34,2015,12628,55.5,23,26,0.885,0.4722222222222222
11,Sport - PE,24,7,12,5,7,33,2015,6970,20.85,33,26,1.269,0.4583333333333333
12,Chapecoense,24,8,6,10,-5,30,2015,5150,6.75,19,24,0.792,0.4166666666666667
13,Goiás,24,7,7,10,1,28,2015,10525,7.25,22,21,1.048,0.3888888888888889
14,Cruzeiro,24,8,4,12,-3,28,2015,15328,58.65,22,25,0.88,0.3888888888888889
15,Ponte Preta,24,6,10,8,-5,28,2015,7440,7.7,22,27,0.815,0.3888888888888889
16,Coritiba FC,24,6,9,9,-7,27,2015,11036,15.85,17,24,0.708,0.375
17,Figueirense - SC,24,7,6,11,-12,27,2015,6898,12.15,23,35,0.657,0.375
18,Avaí - SC,24,6,5,13,-17,23,2015,6364,9.65,23,40,0.575,0.3194444444444444
19,Joinville - SC,24,5,7,12,-8,22,2015,4699,4.6,17,25,0.68,0.3055555555555556
20,Vasco da Gama,24,4,4,16,-33,16,2015,12132,17.4,10,43,0.233,0.2222222222222222
1,Corinthians SP,25,16,6,3,23,54,2015,14680,52.85,42,19,2.211,0.72
2,Atlético Mineiro,25,15,4,6,19,49,2015,13224,53.78,42,23,1.826,0.6533333333333333
3,Grêmio Porto Alegre,25,13,6,6,14,45,2015,13992,31.35,35,21,1.667,0.6
4,São Paulo FC,25,12,5,8,6,41,2015,12738,88.8,33,27,1.222,0.5466666666666666
5,Flamengo RJ,25,13,2,10,4,41,2015,14578,34.45,35,31,1.129,0.5466666666666666
6,Palmeiras,25,11,5,9,14,38,2015,11524,59.15,41,27,1.519,0.5066666666666667
7,Athletico Paranaense,25,11,5,9,2,38,2015,12524,12.5,28,26,1.077,0.5066666666666667
8,Santos FC,25,10,7,8,8,37,2015,13530,20.03,39,31,1.258,0.49333333333333335
9,Internacional,25,10,7,8,-2,37,2015,12628,55.5,24,26,0.923,0.49333333333333335
10,Sport - PE,25,8,12,5,8,36,2015,6970,20.85,34,26,1.308,0.48
11,Fluminense RJ,25,10,4,11,-3,34,2015,12708,52.35,26,29,0.897,0.4533333333333333
12,Ponte Preta,25,7,10,8,-3,31,2015,7440,7.7,25,28,0.893,0.41333333333333333
13,Chapecoense,25,8,6,11,-7,30,2015,5150,6.75,20,27,0.741,0.4
14,Cruzeiro,25,8,5,12,-3,29,2015,15328,58.65,23,26,0.885,0.38666666666666666
15,Goiás,25,7,7,11,0,28,2015,10525,7.25,23,23,1.0,0.37333333333333335
16,Coritiba FC,25,6,9,10,-8,27,2015,11036,15.85,17,25,0.68,0.36
17,Figueirense - SC,25,7,6,12,-14,27,2015,6898,12.15,23,37,0.622,0.36
18,Avaí - SC,25,7,5,13,-16,26,2015,6364,9.65,25,41,0.61,0.3466666666666667
19,Joinville - SC,25,5,7,13,-11,22,2015,4699,4.6,17,28,0.607,0.29333333333333333
20,Vasco da Gama,25,5,4,16,-31,19,2015,12132,17.4,12,43,0.279,0.25333333333333335
1,Corinthians SP,26,16,6,4,22,54,2015,14680,52.85,43,21,2.048,0.6923076923076923
2,Atlético Mineiro,26,15,4,7,15,49,2015,13224,53.78,42,27,1.556,0.6282051282051282
3,Grêmio Porto Alegre,26,14,6,6,15,48,2015,13992,31.35,37,22,1.682,0.6153846153846154
4,São Paulo FC,26,12,6,8,6,42,2015,12738,88.8,33,27,1.222,0.5384615384615384
5,Palmeiras,26,12,5,9,17,41,2015,11524,59.15,45,28,1.607,0.5256410256410257
6,Flamengo RJ,26,13,2,11,2,41,2015,14578,34.45,35,33,1.061,0.5256410256410257
7,Santos FC,26,11,7,8,12,40,2015,13530,20.03,43,31,1.387,0.5128205128205128
8,Internacional,26,11,7,8,-1,40,2015,12628,55.5,26,27,0.963,0.5128205128205128
9,Athletico Paranaense,26,11,5,10,1,38,2015,12524,12.5,29,28,1.036,0.48717948717948717
10,Sport - PE,26,8,13,5,8,37,2015,6970,20.85,35,27,1.296,0.47435897435897434
11,Fluminense RJ,26,10,4,12,-6,34,2015,12708,52.35,27,33,0.818,0.4358974358974359
12,Ponte Preta,26,8,10,8,-2,34,2015,7440,7.7,27,29,0.931,0.4358974358974359
13,Chapecoense,26,8,7,11,-7,31,2015,5150,6.75,20,27,0.741,0.3974358974358974
14,Cruzeiro,26,8,6,12,-3,30,2015,15328,58.65,25,28,0.893,0.38461538461538464
15,Coritiba FC,26,7,9,10,-6,30,2015,11036,15.85,19,25,0.76,0.38461538461538464
16,Avaí - SC,26,8,5,13,-15,29,2015,6364,9.65,26,41,0.634,0.3717948717948718
17,Goiás,26,7,7,12,-1,28,2015,10525,7.25,24,25,0.96,0.358974358974359
18,Figueirense - SC,26,7,6,13,-15,27,2015,6898,12.15,23,38,0.605,0.34615384615384615
19,Joinville - SC,26,5,8,13,-11,23,2015,4699,4.6,18,29,0.621,0.2948717948717949
20,Vasco da Gama,26,5,5,16,-31,20,2015,12132,17.4,14,45,0.311,0.2564102564102564
1,Corinthians SP,27,17,6,4,24,57,2015,14680,52.85,45,21,2.143,0.7037037037037037
2,Atlético Mineiro,27,16,4,7,18,52,2015,13224,53.78,46,28,1.643,0.6419753086419753
3,Grêmio Porto Alegre,27,14,6,7,14,48,2015,13992,31.35,39,25,1.56,0.5925925925925926
4,Palmeiras,27,13,5,9,18,44,2015,11524,59.15,48,30,1.6,0.5432098765432098
5,São Paulo FC,27,12,6,9,5,42,2015,12738,88.8,34,29,1.172,0.5185185185185185
6,Flamengo RJ,27,13,2,12,-1,41,2015,14578,34.45,36,37,0.973,0.5061728395061729
7,Internacional,27,11,8,8,-1,41,2015,12628,55.5,27,28,0.964,0.5061728395061729
8,Santos FC,27,11,7,9,10,40,2015,13530,20.03,43,33,1.303,0.49382716049382713
9,Athletico Paranaense,27,11,5,11,-1,38,2015,12524,12.5,29,30,0.967,0.4691358024691358
10,Sport - PE,27,8,13,6,7,37,2015,6970,20.85,36,29,1.241,0.4567901234567901
11,Ponte Preta,27,9,10,8,0,37,2015,7440,7.7,30,30,1.0,0.4567901234567901
12,Fluminense RJ,27,10,4,13,-8,34,2015,12708,52.35,28,36,0.778,0.41975308641975306
13,Cruzeiro,27,9,6,12,-1,33,2015,15328,58.65,27,28,0.964,0.4074074074074074
14,Coritiba FC,27,8,9,10,-4,33,2015,11036,15.85,21,25,0.84,0.4074074074074074
15,Avaí - SC,27,9,5,13,-14,32,2015,6364,9.65,28,42,0.667,0.3950617283950617
16,Goiás,27,8,7,12,2,31,2015,10525,7.25,27,25,1.08,0.38271604938271603
17,Chapecoense,27,8,7,12,-9,31,2015,5150,6.75,20,29,0.69,0.38271604938271603
18,Figueirense - SC,27,7,7,13,-15,28,2015,6898,12.15,24,39,0.615,0.345679012345679
19,Joinville - SC,27,5,8,14,-14,23,2015,4699,4.6,18,32,0.562,0.2839506172839506
20,Vasco da Gama,27,6,5,16,-30,23,2015,12132,17.4,16,46,0.348,0.2839506172839506
1,Corinthians SP,28,18,6,4,26,60,2015,14680,52.85,48,22,2.182,0.7142857142857143
2,Atlético Mineiro,28,16,5,7,18,53,2015,13224,53.78,48,30,1.6,0.6309523809523809
3,Grêmio Porto Alegre,28,15,6,7,16,51,2015,13992,31.35,42,26,1.615,0.6071428571428571
4,Palmeiras,28,13,6,9,18,45,2015,11524,59.15,49,31,1.581,0.5357142857142857
5,Santos FC,28,12,7,9,12,43,2015,13530,20.03,46,34,1.353,0.5119047619047619
6,São Paulo FC,28,12,7,9,5,43,2015,12738,88.8,35,30,1.167,0.5119047619047619
7,Flamengo RJ,28,13,2,13,-2,41,2015,14578,34.45,37,39,0.949,0.4880952380952381
8,Internacional,28,11,8,9,-3,41,2015,12628,55.5,28,31,0.903,0.4880952380952381
9,Sport - PE,28,9,13,6,10,40,2015,6970,20.85,39,29,1.345,0.47619047619047616
10,Ponte Preta,28,10,10,8,1,40,2015,7440,7.7,32,31,1.032,0.47619047619047616
11,Athletico Paranaense,28,11,5,12,-2,38,2015,12524,12.5,30,32,0.938,0.4523809523809524
12,Fluminense RJ,28,11,4,13,-6,37,2015,12708,52.35,30,36,0.833,0.44047619047619047
13,Cruzeiro,28,10,6,12,1,36,2015,15328,58.65,29,28,1.036,0.42857142857142855
