Posicao,Time,Rodada_atual,Vitorias,Empates,Derrotas,Saldo_gols,Pontuacao,Temporada,Ranking_cbf,Valor_time,Gols_marcados,Gols_sofridos,Taxa_gols,Aproveitamento
5,Goiás,30,12,10,8,4,46,2013,9896,8.65,38,34,1.118,0.5111111111111111
6,Atlético Mineiro,30,12,9,9,5,45,2013,11520,46.1,34,29,1.172,0.5
7,Vitória - BA,30,12,8,10,0,44,2013,9900,17.88,42,42,1.0,0.4888888888888889
8,Santos FC,30,11,10,9,8,43,2013,13736,103.75,39,31,1.258,0.4777777777777778
9,Internacional,30,10,12,8,3,42,2013,14360,62.3,45,42,1.071,0.4666666666666667
10,São Paulo FC,30,11,7,12,1,40,2013,14786,115.8,30,29,1.034,0.4444444444444444
11,Corinthians SP,30,9,13,8,5,40,2013,15624,84.55,23,18,1.278,0.4444444444444444
12,Coritiba FC,30,9,10,11,-6,37,2013,12804,31.4,33,39,0.846,0.4111111111111111
13,Flamengo RJ,30,10,10,10,0,36,2013,14352,44.45,36,36,1.0,0.4
14,Bahia - BA,30,9,9,12,-7,36,2013,9282,24.05,31,38,0.816,0.4
15,Fluminense RJ,30,9,9,12,-4,36,2013,16208,68.15,33,37,0.892,0.4
16,Portuguesa - SP,30,10,8,12,2,34,2013,7840,16.5,45,43,1.047,0.37777777777777777
17,Vasco da Gama,30,8,9,13,-9,33,2013,15030,27.2,40,49,0.816,0.36666666666666664
18,Criciúma - SC,30,9,5,16,-13,32,2013,4370,15.1,38,51,0.745,0.35555555555555557
